Date,Open,High,Low,Close,Adj Close,Volume
10/08/18,132.160004,133.119995,130.899994,131.889999,130.535156,1078300
13/08/18,132.5,132.789993,131.139999,131.490005,130.139267,808500
14/08/18,132,134.229996,131.550003,133.490005,132.118744,1403700
15/08/18,132.550003,133.229996,130.330002,131.699997,130.347122,1390500
16/08/18,133.279999,133.309998,130.949997,131.199997,129.852264,1016700
17/08/18,131.100006,131.660004,129.910004,131.029999,129.684006,858100
20/08/18,130.860001,132.059998,130.720001,131.559998,130.208557,1083400
21/08/18,131.520004,132.619995,131.259995,131.509995,130.159073,1343100
22/08/18,130.210007,130.970001,128.399994,128.880005,127.867233,2425100
23/08/18,128.880005,129.690002,127.959999,128.919998,127.906906,1737400
24/08/18,129.059998,130.850006,128.889999,130.220001,129.196701,891500
27/08/18,130.360001,132.789993,130.360001,131.899994,130.863495,1250600
28/08/18,131.699997,132.199997,131.229996,131.559998,130.526169,950500
29/08/18,132.119995,133.259995,131.570007,132.779999,131.736572,1019000
30/08/18,132.050003,133.059998,131.179993,131.449997,130.417023,791400
31/08/18,130.820007,132,130.259995,130.5,129.474487,1018900
04/09/18,130.139999,130.5,126.639999,127.370003,126.369095,1826100
05/09/18,126.989998,127,123.449997,123.849998,122.876747,2221700
06/09/18,124.529999,124.949997,121.839996,124.529999,123.551407,2158600
07/09/18,123.809998,129.440002,123.370003,128.820007,127.807701,3041000
10/09/18,129.139999,129.399994,128.039993,129.050003,128.035904,1281600
11/09/18,127.550003,129.990005,127.489998,129.770004,128.750244,994400
12/09/18,126.699997,132.110001,126.699997,131.240005,130.208679,1536700
13/09/18,131.600006,132.350006,129.5,130.410004,129.385193,1428100
14/09/18,130.789993,131.759995,129.259995,129.740005,128.720474,1095500
17/09/18,129.729996,130.119995,126.910004,128.979996,127.966431,1071700
18/09/18,129.050003,131.490005,128.809998,130.679993,129.653061,952500
19/09/18,130.5,133.279999,130,132.779999,131.736572,1369000
20/09/18,133.369995,134.770004,133.070007,134.429993,133.373596,1586400
21/09/18,134.990005,135.690002,133.550003,133.729996,132.679123,2440100
24/09/18,132.940002,133.289993,130.919998,132.210007,131.171066,1935200
25/09/18,132.520004,132.570007,130.449997,130.779999,129.752289,1411300
26/09/18,131.070007,132.990005,131.070007,131.639999,130.605545,2008600
27/09/18,132,132.960007,131.220001,131.5,130.466644,1103900
28/09/18,130.949997,131.600006,129.690002,130.479996,129.454651,1281500
01/10/18,131.440002,131.919998,130.139999,130.320007,129.295914,1358000
02/10/18,130.389999,130.619995,128.789993,128.960007,127.946602,1118600
03/10/18,128.139999,129.470001,126.599998,129.369995,128.353363,1209100
04/10/18,129.130005,129.300003,126.730003,126.940002,125.942474,1563400
05/10/18,127.099998,127.370003,122.089996,123.730003,122.757698,2002500
08/10/18,123.129997,124.150002,121.019997,122.589996,121.626648,1520200
09/10/18,122.129997,123.43,121.139999,121.360001,120.406319,1306800
10/10/18,121.029999,121.300003,116.699997,116.760002,115.842468,1902400
11/10/18,117.129997,118.470001,114.239998,115.690002,114.780884,2086600
12/10/18,118.860001,119.690002,115.860001,118.559998,117.628319,1619500
15/10/18,118.230003,119.610001,116.449997,118.550003,117.618401,1314900
16/10/18,118.830002,122.099998,118.559998,121.910004,120.951996,1639700
17/10/18,121.459999,121.580002,118.870003,120.550003,119.602684,1728500
18/10/18,119.82,120.5,117.559998,118.440002,117.50927,1792600
19/10/18,119.169998,119.580002,117.330002,118.32,117.390205,1499400
22/10/18,119.169998,119.93,117.419998,118.5,117.568794,1279800
23/10/18,116.059998,117.529999,113.690002,117.209999,116.288933,2195600
24/10/18,118,119.389999,113.870003,114.220001,113.322426,2923900
25/10/18,115.32,119.099998,113.849998,117.57,116.646103,4111600
26/10/18,122.660004,125.440002,118.540001,120.5,119.55307,5645300
29/10/18,122.220001,125.449997,119.220001,121.730003,120.773415,2884800
30/10/18,121.279999,125.029999,120.150002,124.489998,123.511719,2452400
31/10/18,125.870003,126.730003,125.150002,125.43,124.444336,2391600
01/11/18,125.660004,127.860001,124.57,127.620003,126.617126,1912500
02/11/18,128.279999,128.850006,125.410004,126.510002,125.515854,1612300
05/11/18,126.589996,127.599998,125.040001,126.889999,125.892868,1750600
06/11/18,126.220001,127.889999,124.610001,125.029999,124.047478,2118300
07/11/18,126.529999,128.679993,126.309998,128.380005,127.371155,1839800
08/11/18,128.25,128.690002,124.720001,125.43,124.444336,1678500
09/11/18,124.949997,125.970001,123.809998,124.040001,123.065262,1676200
12/11/18,123.870003,124.260002,121.839996,122.25,121.28933,1562500
13/11/18,122.970001,124.349998,121.480003,122.379997,121.418297,1210200
14/11/18,123.010002,125.18,121.410004,121.93,121.288986,1598000
15/11/18,121.010002,121.940002,117.889999,119.75,119.120445,2799600
16/11/18,118.650002,120.989998,115.559998,116.949997,116.335159,2373200
19/11/18,117.230003,117.389999,112.540001,113.099998,112.505402,2037500
20/11/18,111.050003,112.870003,110.260002,111.620003,111.033188,1983800
21/11/18,112.470001,114.93,112.470001,113.089996,112.495453,1421200
23/11/18,112.599998,113.720001,112.019997,113.139999,112.545197,573500
26/11/18,115.099998,117,114.620003,116.580002,115.96711,1272000
27/11/18,115.709999,117.889999,115.360001,117.540001,116.922066,981800
28/11/18,118,120.529999,116.970001,120.160004,119.52829,1286500
29/11/18,119.400002,120.349998,118.870003,119.739998,119.110497,1109300
30/11/18,120.160004,121.940002,120,120.790001,120.154984,1316100
03/12/18,123.300003,123.57,120.029999,120.650002,120.015717,1368000
04/12/18,120.139999,121.93,118.470001,118.779999,118.15554,1520800
06/12/18,116.620003,120.75,116.07,120.650002,120.015717,1519900
07/12/18,120.43,121.57,117.129997,118.239998,117.618385,1888800
10/12/18,118.010002,119.690002,117.169998,118.779999,118.15554,1570700
11/12/18,120.559998,121.709999,118.139999,118.349998,117.727806,1576800
12/12/18,119.800003,122.760002,119.800003,121.099998,120.463341,1401000
13/12/18,121.419998,122.120003,118.400002,119.589996,118.961281,1161500
14/12/18,118.550003,119.370003,117.540001,118.360001,117.737755,986300
17/12/18,117.669998,119.25,115.650002,116.93,116.315269,1531300
18/12/18,117.839996,119.519997,117.110001,118.260002,117.638283,1171400
19/12/18,118.580002,120.959999,114.120003,115.150002,114.544632,2155400
20/12/18,115,115.839996,112.68,114.309998,113.709038,1625300
21/12/18,114.190002,115.379997,109.93,110.150002,109.570915,2916500
24/12/18,109.709999,110.589996,108.410004,109.099998,108.526436,718900
26/12/18,109.809998,114.400002,108.639999,114.199997,113.599617,1903100
27/12/18,112.269997,114.480003,110.550003,114.370003,113.76873,1347800
28/12/18,114.07,114.989998,112.510002,113.290001,112.694412,1364800
31/12/18,114.330002,114.599998,111.529999,112.650002,112.05777,1162500
02/01/19,110.400002,113,110.199997,111.980003,111.391296,1235100
03/01/19,111.169998,112.029999,108.110001,108.519997,107.949478,1645100
04/01/19,111.040001,114,110.559998,113.089996,112.495453,2289200
07/01/19,112.919998,115.25,112.379997,114.559998,113.957726,1232100
08/01/19,115.440002,117.25,114.410004,116.970001,116.355064,1777200
09/01/19,113.660004,115.389999,111.5,114.620003,114.017418,2859000
10/01/19,113.480003,114.769997,113.019997,114.199997,113.599617,1506100
11/01/19,113.489998,114.25,113.07,114.220001,113.619514,1001100
14/01/19,112.849998,115.459999,112.440002,115.209999,114.604317,1475600
15/01/19,115.400002,116.910004,114.970001,116.730003,116.116325,1324000
16/01/19,116.699997,117,115.260002,116,115.39016,915300
17/01/19,115.459999,117.480003,114.900002,116.709999,116.096428,1208600
18/01/19,118,119.459999,115.760002,118.480003,117.857124,973500
22/01/19,117.029999,118.010002,114.300003,115.650002,115.042,1241800
